오름명,오름여부,지번주소,위도,경도,비고,표고,카카오맵_url,관리시설,표고비고출처,좌표출처,grid_nx,grid_ny
사라봉,오름,제주 제주시 건입동 387-1,33.37193619,126.5708756,98.0,148.2,http://place.map.kakao.com/25262407,,제주道CSV/단일,API/단일,53,35
도두봉,오름,제주 제주시 도두일동 산 2,33.50790711,126.4683721,55.0,65.3,http://place.map.kakao.com/7834621,,제주道CSV/단일,API/단일,52,38
저지오름,오름,제주특별자치도 제주시 한경면 저지리 산 51,33.3340641,126.2509837,104.0,239.3,http://place.map.kakao.com/85419607,,제주道CSV/단일,API/단일,48,34
송악산,오름,제주특별자치도 서귀포시 대정읍 상모리 산 2,33.197795,126.2919219,99.0,104.0,https://place.map.kakao.com/7956367,,제주道CSV/단일,미확보/미등재,48,31
수월봉,오름,제주특별자치도 제주시 한경면 고산리 3760,33.29476974,126.1631086,73.0,78.0,http://place.map.kakao.com/25294439,,제주道CSV/단일,API/단일,46,33
단산,오름,제주특별자치도 서귀포시 대정읍 인성리 21-2,33.24286074,126.2883335,113.0,158.0,http://place.map.kakao.com/8306005,,제주道CSV/단일,API/단일,48,32
산방산,오름,제주 서귀포시 안덕면 사계리 산 16,33.2410682,126.3134467,345.0,395.2,https://place.map.kakao.com/8386141,,제주道CSV/단일,미확보/미등재,49,32
군산,오름,제주특별자치도 서귀포시 안덕면 창천리 산 3-1,33.2532052,126.3706958,280.0,334.5,https://place.map.kakao.com/25186462,,제주道CSV/단일,미확보/미등재,50,33
새별오름,오름,제주특별자치도 제주시 애월읍 봉성리 산 59-8,33.36627759,126.3577307,119.0,519.3,http://place.map.kakao.com/25274725,,제주道CSV/단일,API/단일,50,35
정물오름,오름,제주특별자치도 제주시 한림읍 금악리 산 52-1,33.33835789,126.3296255,151.0,466.1,http://place.map.kakao.com/25359013,,제주道CSV/단일,API/단일,49,34
족은노꼬메오름,오름,제주 제주시 애월읍 유수암리 산 138,33.3929165,126.4171443,124.0,774.4,http://place.map.kakao.com/8214370,,제주道CSV/별칭,API/단일,51,36
큰노꼬메오름,오름,제주특별자치도 제주시 애월읍 유수암리 산 138,33.38912818,126.4114582,234.0,833.8,http://place.map.kakao.com/10271092,,제주道CSV/별칭,API/단일,51,36
궷물오름,오름,제주특별자치도 제주시 애월읍 유수암리 산 136-6,33.39695302,126.4059387,57.0,597.2,http://place.map.kakao.com/8217224,,제주道CSV/단일,API/단일,50,36
한라산 어승생악,오름,제주 제주시 해안동 산 220-12,33.39652248,126.4892783,350.0,1169.0,http://place.map.kakao.com/10574639,,제주道CSV/단일,API/단일,52,36
한라산 사라오름,오름,제주특별자치도 서귀포시 남원읍 신례리 산 2-1,33.37193619,126.5708756,150.0,1324.7,http://place.map.kakao.com/25262407,,제주道CSV/단일,API/단일,53,35
